course_id,institution_id,owning_department_id,course_code,title,short_title,is_active
5194d557-83fa-4ec5-bac9-19a32acffd2e,e11c8eb4-1e0c-467f-8f98-796a9e24129c,1df2b133-a3ab-48c5-ad2f-319b96928c1f,EE204,Renewable Energy,Renewable Energy,True
e31a92aa-5c8e-41dd-ae19-e30b68ee3aee,e11c8eb4-1e0c-467f-8f98-796a9e24129c,1df2b133-a3ab-48c5-ad2f-319b96928c1f,EE205,Electrical Measurements,Electrical Measurements,True
1d3568dc-19c5-4ddb-a1a6-9f9f590759cb,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9fbeeee0-e407-4e7a-8062-6471011d13bb,ME101,Engineering Mechanics,Engineering Mechanics,True
ea928542-36d5-4b5e-a5c8-995d97d5e41c,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9fbeeee0-e407-4e7a-8062-6471011d13bb,ME102,Thermodynamics,Thermodynamics,True
f0fdbb0f-26b3-4b2c-80f1-3292c4ff03c1,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9fbeeee0-e407-4e7a-8062-6471011d13bb,ME201,Fluid Mechanics,Fluid Mechanics,True
32c4cfc8-8679-44a6-ae49-3bb52ded986e,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9fbeeee0-e407-4e7a-8062-6471011d13bb,ME202,Manufacturing Processes,Manufacturing Processes,True
7927a6ca-a0a0-47bd-969b-f4aea8d17747,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9fbeeee0-e407-4e7a-8062-6471011d13bb,ME203,Machine Design,Machine Design,True
75d7acfd-4a74-4cc9-8a33-45ad88fbeab7,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9fbeeee0-e407-4e7a-8062-6471011d13bb,ME204,CAD/CAM,CAD/CAM,True
8c1b988b-2403-48b1-a13c-f2fcedf46cfe,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9fbeeee0-e407-4e7a-8062-6471011d13bb,ME205,Industrial Engineering,Industrial Engineering,True
50584b6a-3ab7-44cd-92a0-962c90c56af8,e11c8eb4-1e0c-467f-8f98-796a9e24129c,00f83339-0268-4296-a95c-71b715b267a1,CE101,Engineering Geology,Engineering Geology,True
9db6db6c-c7eb-423c-9a42-9602c33d5376,e11c8eb4-1e0c-467f-8f98-796a9e24129c,00f83339-0268-4296-a95c-71b715b267a1,CE102,Strength of Materials,Strength of Materials,True
b6410adf-8876-4483-bf57-f62c56d97fd5,e11c8eb4-1e0c-467f-8f98-796a9e24129c,00f83339-0268-4296-a95c-71b715b267a1,CE201,Structural Analysis,Structural Analysis,True
025985a8-a742-4e2e-933c-e784a4f53e2d,e11c8eb4-1e0c-467f-8f98-796a9e24129c,00f83339-0268-4296-a95c-71b715b267a1,CE202,Fluid Mechanics,Fluid Mechanics,True
03e8357f-8173-46e8-a0af-afad9860c75a,e11c8eb4-1e0c-467f-8f98-796a9e24129c,00f83339-0268-4296-a95c-71b715b267a1,CE203,Geotechnical Engineering,Geotechnical Engineering,True
1735c87a-fa03-450b-962a-2f15d4409328,e11c8eb4-1e0c-467f-8f98-796a9e24129c,00f83339-0268-4296-a95c-71b715b267a1,CE204,Transportation Engineering,Transportation Engineering,True
1128534f-19fd-4c7e-8a6e-7fa86457c9fa,e11c8eb4-1e0c-467f-8f98-796a9e24129c,00f83339-0268-4296-a95c-71b715b267a1,CE205,Environmental Engineering,Environmental Engineering,True
e9c6e7f7-c180-47ba-8b17-2c838661d210,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9c9396ed-93c3-4d33-bc89-3c097aecfbe2,MC101,Advanced Programming,Advanced Programming,True
21e1b386-c780-4bda-a44b-490d302ebc25,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9c9396ed-93c3-4d33-bc89-3c097aecfbe2,MC102,Advanced DBMS,Advanced DBMS,True
2257d642-2e42-41b0-9082-c03235ab671d,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9c9396ed-93c3-4d33-bc89-3c097aecfbe2,MC201,Advanced Web Development,Advanced Web Development,True
d8cf4983-8bc4-4987-896d-b56140090b0f,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9c9396ed-93c3-4d33-bc89-3c097aecfbe2,MC202,Data Analytics,Data Analytics,True
287cc411-1804-41ee-a199-add7edd0dc72,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9c9396ed-93c3-4d33-bc89-3c097aecfbe2,MC203,AI Applications,AI Applications,True
8be145fb-5122-425d-917e-3db2433e9383,e11c8eb4-1e0c-467f-8f98-796a9e24129c,9c9396ed-93c3-4d33-bc89-3c097aecfbe2,MC204,Cloud and DevOps,Cloud and DevOps,True
ba44a39d-0016-48ba-9111-da77b1eb0bfc,e11c8eb4-1e0c-467f-8f98-796a9e24129c,81928c47-bf2a-4a49-9b66-4e3649e884c3,MB101,Principles of Management,Principles of Management,True
60a08c28-0a5b-406e-ad19-7d32e0ee42da,e11c8eb4-1e0c-467f-8f98-796a9e24129c,81928c47-bf2a-4a49-9b66-4e3649e884c3,MB102,Financial Management,Financial Management,True
df18fd08-34ec-49d5-8180-ab74ac793ee9,e11c8eb4-1e0c-467f-8f98-796a9e24129c,81928c47-bf2a-4a49-9b66-4e3649e884c3,MB201,Marketing Management,Marketing Management,True
0600c358-94dd-4fda-baea-3c0553df99c5,e11c8eb4-1e0c-467f-8f98-796a9e24129c,81928c47-bf2a-4a49-9b66-4e3649e884c3,MB202,Business Analytics,Business Analytics,True
b4b093bb-3021-4d91-b354-50e25c1210d0,e11c8eb4-1e0c-467f-8f98-796a9e24129c,81928c47-bf2a-4a49-9b66-4e3649e884c3,MB203,Human Resource Management,Human Resource Management,True
5e13b600-d594-4e7f-972b-9c924d31ca85,e11c8eb4-1e0c-467f-8f98-796a9e24129c,81928c47-bf2a-4a49-9b66-4e3649e884c3,MB204,Operations Management,Operations Management,True
